,author,title
678,Дмитрий Мамин-Сибиряк,Три конца
679,Алексей Писемский,Масоны
680,Алексей Чапыгин,Гулящие люди
681,Михаил Осоргин,Книга о концах
682,Александр Сухово-Кобылин,Смерть Тарелкина
683,Максим Горький,Фома Гордеев
684,Михаил Салтыков-Щедрин,Современная идиллия
685,Лев Толстой,Закон насилия и закон любви
686,Вера Крыжановская,Мертвая петля
687,Авдотья Панаева,Семейство Тальниковых
688,Авдотья Панаева,"Записки, найденные в бумагах покойницы"
689,Владимир Одоевский,Косморама
690,Иринкино счастье,
691,Александр Вельтман,Аттила
692,Александр Вельтман,Русь IV и V века
693,Александр Козачинский,Зеленый фургон
694,Александр Неверов,Ташкент - город хлебный
695,Александр Солженицын,Военное
696,Федор Достоевский,Игрок (из записок молодого человека)
697,Всеволод Крестовский,Кровавый пуф
698,Всеволод Крестовский,Книга 1
699,Всеволод Крестовский,Панургово стадо
700,Всеволод Крестовский,Книга 2
701,Всеволод Крестовский,Две силы
702,Всеволод Соловьев,Великий розенкрейцер
703,Алексей Писемский,Тысяча душ
704,Марк Алданов,Чертов мост
705,Петр Краснов,"Мантык, охотник на львов"
706,Иван Шмелев,Няня из Москвы
707,Петр Краснов,Екатерина Великая
708,Лев Толстой,Фальшивый купон
709,Сигизмунд Кржижановский,Воспоминания о будущем
710,Георгий Марков,Строговы
711,Сергей Павлов,Лунная радуга
712,Николай Гоголь,Собрание сочинений
713,Николай Гоголь,В 7-ми томах
714,Георгий Марков,Сибирь
715,Анатолий Иванов,Повитель
716,Максим Горький,Горемыка Павел
717,Кузьма Петров-Водкин,Хлыновск
718,Александр Амфитеатров,Жар-Цвет
719,Николай Гарин-Михайловский,Детство Тёмы
720,Григорий Адамов,Тайна двух океанов
721,Русь. Том I,
722,Лев Толстой,Сборник
723,Григорий Федосеев,Тропою испытаний
724,Дмитрий Петров-Бирюк,Испытание
725,Лев Толстой,Повести
726,Николай Гоголь,Поэма
727,Лев Толстой,Исповедь
728,Петр Краснов,Тихие подвижники
729,Иван Шмелев,Солнце мертвых
730,Александр Абрамов,Гибель шахмат
731,Александр Абрамов,Повести и рассказы
732,Михаил Каратеев,Богатыри проснулись
733,Владимир Одоевский,4338-й год
734,Владимир Одоевский,Петербургские письма
735,Владимир Одоевский,Взгляд на будущее
736,Алексей Новиков-Прибой,Цусима
737,Петр Краснов,На внутреннем фронте
738,Александр Чаянов,"Необычайные, но истинные приключения графа Федора Михайловича Бутурлина"
739,Леонид Андреев,Жизнь Человека
740,Николай Лесков,На краю света
741,Антон Чехов,Рассказ неизвестного человека
742,Антон Чехов,Палата № 6
743,Антон Чехов,Три года
744,Валентин Распутин,Пожар
745,Федор Абрамов,О чем плачут лошади
746,Леонид Добычин,Город Эн
747,Валерий Брюсов,Не воскрешайте меня!
748,Андрей Белый,Котик Летаев
749,Варлам Шаламов,Книга 1
750,Кузьма Петров-Водкин,Пространство Эвклида
751,Еремей Айпин,"Ханты, или Звезда Утренней Зари"
752,Лидия Чарская,Приключения Таси
753,Михаил Волконский,Слуга императора Павла
754,Михаил Волконский,Две жизни
755,Анатолий Виноградов,Осуждение Паганини
756,Петр Краснов,Ненависть
757,Валентин Курицын,Томские трущобы
758,Валентин Курицын,Уголовный роман-хроника
759,Алексей Писемский,Люди сороковых годов
760,Борис Житков,Книга Первая
761,Борис Житков,Книга Вторая
762,Лев Толстой,"Притчи, сказки, афоризмы Льва Толстого"
763,Наталья Венкстерн,Аничкина революция
764,Еремей Айпин,Божья Матерь в кровавых снегах
765,Леонид Андреев,Дневник Сатаны
766,Александр Куприн,Игрушка
767,Александр Куприн,Белый пудель
768,Александр Куприн,В цирке
769,Александр Куприн,Повести и рассказы
770,Валерий Брюсов,Алтарь Победы
771,Константин Вагинов,Бамбочада
772,Еремей Айпин,Река-в-Январе
773,Алексей Толстой,Семья вурдалака
774,Антон Чехов,Черный монах
775,Владимир Короленко,В дурном обществе
776,Василий Гроссман,Все течёт
777,Федор Достоевский,История одной женщины
778,Александр Пушкин,Повести покойного Ивана Петровича Белкина
779,Михаил Салтыков-Щедрин,За рубежом
780,Михаил Салтыков-Щедрин,Письма к тетеньке
781,Константин Станюкович,Севастопольский мальчик
782,Дмитрий Мережковский,Павел
783,Дмитрий Мережковский,Августин
784,Михаил Каратеев,Карач-мурза
785,Александр Барченко,Океан-кормилец
786,Лидия Чарская,Счастливчик
787,Александра Анненская,Анна
788,Жуки на булавках,
789,Опавшие листья,
790,Подвиг,
791,Леонид Андреев,Шесть рассказов
792,Дмитрий Петров-Бирюк,Ледяной поход
793,Василь Быков,Сотников
794,Валентин Катаев,Сын полка
795,Андрей Платонов,Сборник
796,Леонид Андреев,Красный смех
797,Вера Крыжановская,Нахэма
798,Вера Крыжановская,Рекенштейны
799,Фаддей Булгарин,Мазепа
800,А. Морской,Грех содомский
801,Григорий Брейтман,Жуткие рассказы
802,Дмитрий Петров-Бирюк,Казаки
803,Александр Грин,сБОРНИК
804,Николай Леонов,Трактир на Пятницкой
805,Николай Леонов,Агония
806,Владимир Одоевский,Пестрые сказки
807,Владимир Одоевский,Рассказы
